Title,Genre,Description,Image,YouTube
Sonic the hedgehog,Fiction,"A blue hedgehog going into planet earth with 2 friends Tom and madie against Doctor robotnic, Watch the movie to see if sonic and his to friends beat doctor robotnic .",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_LatAJ_j1EnV68yT04gExc2TV_eje0LMtlQ&s,https://www.youtube.com/watch?v=HdJlPxz94pc&list=PLzAMtM2kXis7Mkm9SmP-7pYlnL4sNg6rf
Sonic the hedgehog 2,Fiction,Sonic turns to super sonic to stop doctor eggman.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkngYA2MgD2c1M_Wr_03ke6WWHWH1d68IwXQ&s,https://www.youtube.com/watch?v=LEqzSH6HXcg
The Super mario bros movie,Fiction,Super mario bros.,https://upload.wikimedia.org/wikipedia/en/4/44/The_Super_Mario_Bros._Movie_poster.jpg,https://www.youtube.com/watch?v=EXeTwQWrcwY
Sonic x,Fiction,A land where sonic and his friends have to stop eggman,https://vignette.wikia.nocookie.net/sonic/images/3/33/Sonic_x_Wallpaper_yvt2.JPG/revision/latest?cb=20130724084104,https://www.youtube.com/watch?v=8ykblfGXgcI&t=1064s
You cant trouble,Game,Where sonic exe has to rap battle his future self,https://i.ytimg.com/vi/tLvd3mszVeQ/maxresdefault.jpg,https://www.youtube.com/watch?v=zHrUXLyyf6Q
Something about Super mario world,Game,Where mario speedruns to bowser,https://i.ytimg.com/vi/_bE3PCRHq-A/maxresdefault.jpg,https://www.youtube.com/watch?v=_bE3PCRHq-A
Dragon ball super,Anime,Watch for your self,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13581424_b_v13_ao.jpg,https://www.youtube.com/watch?v=BhWjnTa03xs
Titanic,Drama,Watch for your self,https://miro.medium.com/v2/resize:fit:1400/0*5MFFtR8MBLOv1q_Z.jpg,https://www.youtube.com/watch?v=x2oF9bO9mMY
Mega mushroom,Game,Mario finds a mega mushroom and never stops growing,https://i.ytimg.com/vi/_-ryn60wypo/maxresdefault.jpg,https://www.youtube.com/watch?app=desktop&v=_-ryn60wypo
Sonic superstars,Game,Sonic has to get the choas emeralds to stop eggman and save trip,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwzwiMkdNP6red2EEJFbFVwLGlU-DAaQ7-QA&s,https://www.youtube.com/watch?v=gSQ3D-ZuJBM
Dragon ball z,Anime,Watch for yourself,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDKmPkKz7qe4UF0X5eHIFM1Qwe-AY2bRaq6g&s,https://www.youtube.com/watch?v=2nYozPLpJRE&list=PL0SoSXR7j86HfKLUzr4s0-mikb3jlG1Ie




